x0,x1,x2,x3,x4,x5,weight,source_index
0.465,0.23,0.0325,0.349,2.85e-06,0.114,1721.7551557700745,107094
0.546,0.383,0.032,0.403,0.0,0.372,2669.1706888986396,19924
0.591,0.294,0.593,0.278,0.0,0.254,25.010969723562965,36475
0.263,0.99,0.539,0.000128,0.123,0.266,45.019745502413336,27952
0.775,0.572,0.507,0.177,0.0,0.284,56.02457218078104,112693
0.579,0.33,0.0395,0.739,0.0,0.298,5170.267661254936,31694
0.39,0.695,0.0455,0.607,7.42e-06,0.385,1054.4624835454147,100951
0.603,0.743,0.0553,0.728,4.22e-05,0.341,1648.7231241772706,55728
0.485,0.253,0.571,0.745,0.000741,0.338,15.006581834137778,84362
0.607,0.255,0.541,0.6,0.0,0.471,84.03685827117157,98699
0.43,0.902,0.925,0.932,5.11e-06,0.238,158.06932865291793,18757
0.654,0.793,0.939,0.691,0.0,0.483,324.142167617376,18740
0.0,6.19e-05,0.0,0.127,0.999,0.0,577.2531812198332,101269
0.807,0.292,0.122,0.00134,0.914,0.132,779.341816586222,73579
0.472,0.965,0.0497,1e-05,0.886,0.364,2897.270732777534,5667
0.566,0.757,0.0355,0.328,0.84,0.403,4305.8885476086,38328
0.327,0.987,0.536,0.000316,0.777,0.252,5.002193944712593,27924
0.54,0.983,0.578,0.0487,0.922,0.0695,4.001755155770074,46059
0.169,0.132,0.0415,0.7,0.975,0.0273,4253.865730583589,39340
0.58,0.408,0.0372,0.573,0.819,0.471,1549.6796840719612,45880
0.204,1.0,0.0445,0.933,0.691,1e-05,254.11145239139972,101880
0.617,0.675,0.0241,0.619,0.884,0.335,224.09828872312417,38253
0.533,0.331,0.588,0.982,0.652,0.23,5.002193944712593,94222
0.409,0.336,0.0301,0.383,0.0,0.549,264.1158402808249,37109
0.784,0.301,0.184,0.47,0.0,0.532,2253.9885914874944,14095
0.5,0.731,0.163,0.0179,0.000338,0.542,5049.214567792891,53363
0.675,0.416,0.835,0.0607,0.0,0.643,36.01579640193067,21335
0.325,0.82,0.762,0.0767,0.105,0.861,5.002193944712593,42012
0.789,0.612,0.659,0.382,0.0,0.84,50.02193944712593,66660
0.407,0.228,0.0385,0.756,0.0146,0.527,1025.4497586660816,82625
0.634,0.473,0.0425,0.575,0.0,0.915,3981.746379991224,52486
0.443,0.76,0.395,0.528,0.0,0.775,1038.4554629223344,96886
0.457,0.436,0.872,0.833,0.0,0.724,6.002632733655112,26808
0.721,0.47,0.946,0.568,0.0,0.623,94.04124616059674,18975
0.494,0.644,0.905,0.704,0.0,0.866,45.019745502413336,64298
0.734,0.631,0.721,0.62,0.0,0.842,213.09346204475645,60827
0.489,0.398,0.05,0.491,0.712,0.938,13.005704256252741,52852
0.827,0.312,0.0924,0.138,0.89,0.551,291.1276875822729,105393
0.22,0.945,0.0959,3.4e-06,0.929,0.604,432.189556823168,42365
0.792,0.831,0.0659,0.00099,0.636,0.724,2142.9398859148746,13637
0.354,0.194,0.034,0.989,0.961,0.67,300.1316366827556,16859
0.641,0.289,0.0484,0.985,0.954,0.63,498.2185168933743,26634
0.363,0.665,0.0375,0.54,0.968,0.566,83.03641948222904,39358
0.707,0.57,0.0499,0.89,0.551,0.922,236.10355419043438,108398
0.661,0.749,0.0371,0.0579,0.0,0.682,2835.243527863098,19457
0.83,0.739,0.0627,0.136,2.11e-06,0.631,1651.7244405440981,88577
0.576,0.835,0.0461,0.012,0.0,0.637,6091.671785870995,14456
0.844,0.934,0.078,0.17,0.000121,0.647,1199.5261079420798,89671
0.618,0.717,0.318,0.00256,0.0,0.603,259.1136463361123,60002
0.804,0.719,0.337,0.0812,0.0,0.593,241.10574813514697,60339
0.508,0.883,0.329,0.0617,0.0,0.717,260.1140851250548,17335
0.759,0.836,0.312,0.072,0.0,0.736,85.03729706011408,36634
0.697,0.628,0.0362,0.418,0.0,0.741,1399.6138657305835,70503
0.787,0.701,0.0448,0.251,9.02e-05,0.545,442.19394471259324,39417
0.635,0.79,0.0336,0.404,0.0,0.577,782.3431329530496,65726
0.816,0.885,0.0879,0.301,0.0,0.743,195.08556384379114,104903
0.705,0.501,0.288,0.453,0.0393,0.542,187.08205353225097,105028
0.903,0.647,0.428,0.457,0.0,0.71,94.04124616059674,36829
0.518,0.918,0.276,0.325,0.0,0.62,86.0377358490566,1023
0.755,0.844,0.326,0.328,8.8e-06,0.745,35.01535761298815,81638
0.681,0.668,0.0998,0.00135,0.471,0.591,76.03334795963141,46984
0.755,0.739,0.0503,0.211,0.348,0.695,55.024133391838525,13946
0.626,0.928,0.0593,0.0108,0.405,0.542,179.07854322071083,49642
0.772,0.82,0.05,8.95e-05,0.34,0.552,40.01755155770074,13343
0.832,0.67,0.301,0.0276,0.419,0.591,6.002632733655112,17266
0.617,0.555,0.0328,0.332,0.255,0.691,19.008336989907853,112414
0.826,0.629,0.0486,0.357,0.38,0.54,4.001755155770074,1836
0.636,0.826,0.0585,0.461,0.271,0.731,9.003949100482668,1886
0.614,0.724,0.0247,0.217,0.000256,0.902,1776.779289161913,19340
0.793,0.666,0.0598,0.118,2.48e-05,0.783,1119.4910048266784,31592
0.674,0.821,0.0333,0.0243,0.000117,0.949,4318.894251864853,33692
0.844,0.841,0.138,0.156,3.68e-05,0.831,1396.612549363756,68642
0.587,0.638,0.313,0.14,0.0,0.76,94.04124616059674,94622
0.899,0.626,0.292,0.076,0.0,0.873,141.06186924089513,67046
0.639,0.791,0.254,0.0275,0.0,0.933,140.0614304519526,68057
0.89,0.829,0.252,0.00257,0.00286,0.827,94.04124616059674,27944
0.639,0.61,0.0446,0.481,0.0,0.812,952.4177270732777,103546
0.924,0.54,0.034,0.336,0.0,0.985,498.2185168933743,66995
0.639,0.815,0.0286,0.262,0.0,0.77,1073.4708205353224,100346
0.778,0.798,0.11,0.41,0.0,0.782,381.16717858709956,23842
0.674,0.666,0.357,0.444,0.0,0.873,61.02676612549364,41318
0.892,0.664,0.432,0.45,2.16e-05,0.817,53.02325581395348,37795
0.662,0.896,0.251,0.318,0.0,0.79,69.03027643703378,88853
0.821,0.796,0.272,0.303,0.0,0.905,27.011847301448,60337
0.738,0.607,0.0845,0.00746,0.324,0.78,51.02237823606845,57882
0.776,0.743,0.0289,0.107,0.293,0.84,38.01667397981571,107243
0.649,0.863,0.051,0.000633,0.398,0.926,125.05484861781483,10220
0.756,0.903,0.0345,0.0407,0.474,0.898,57.02501096972356,61691
0.65,0.535,0.0293,0.259,0.372,0.901,12.005265467310224,26984
0.833,0.579,0.101,0.451,0.294,0.819,8.003510311540149,1181
0.738,0.792,0.0378,0.309,0.39,0.968,7.00307152259763,11819
0.929,0.863,0.243,0.256,0.407,0.877,3.001316366827556,17321
0.708,0.644,0.0322,0.054,0.0252,0.124,1189.5217200526547,84950
0.785,0.523,0.0489,0.144,0.0,0.134,218.09565598946907,103023
0.538,0.997,0.205,0.00232,0.00159,0.0702,1490.6537955243527,71942
0.752,0.895,0.0374,0.00079,0.186,0.0373,71.03115401491883,17126
0.686,0.735,0.264,0.00921,0.00066,0.0596,34.01491882404563,51939
0.783,0.522,0.39,0.0287,4.13e-05,0.235,19.008336989907853,33814
0.551,0.917,0.438,0.0691,0.0,0.241,94.04124616059674,112430
0.771,0.993,0.298,0.0118,0.158,0.0398,4.001755155770074,49445
0.567,0.651,0.0405,0.447,0.0,0.189,341.14962702939886,39175
0.81,0.7,0.0399,0.267,6.69e-05,0.193,67.02939885914874,30222
0.674,0.881,0.147,0.296,3.01e-06,0.234,60.02632733655111,53305
0.758,0.806,0.09,0.314,0.0,0.245,10.004387889425185,80757
0.63,0.626,0.278,0.29,1.54e-05,0.224,15.006581834137778,21791
0.892,0.592,0.255,0.352,0.0,0.17,5.002193944712593,21479
0.706,0.995,0.323,0.29,0.0107,0.119,18.007898200965336,49845
0.647,0.676,0.0453,0.0232,0.381,0.171,92.04036858271171,54314
0.789,0.704,0.16,0.00158,0.326,0.149,18.007898200965336,46337
0.74,0.863,0.0717,0.0663,0.389,0.18,237.1039929793769,13885
0.931,0.754,0.0849,0.000188,0.386,0.0735,13.005704256252741,17604
0.531,0.713,0.252,0.00589,0.386,0.183,5.002193944712593,10154
0.519,0.935,0.281,0.00391,0.481,0.142,6.002632733655112,10456
0.856,0.959,0.269,0.143,0.35,0.217,3.001316366827556,43308
0.648,0.579,0.0299,0.458,0.283,0.04,19.008336989907853,75085
0.686,0.92,0.0566,0.301,0.27,0.225,11.004826678367705,47468
0.801,0.781,0.0419,0.32,0.35,0.0616,3.001316366827556,23575
0.651,0.997,0.306,0.274,0.353,0.0602,3.001316366827556,109545
0.572,0.75,0.0604,0.0946,0.0,0.475,3065.3444493198767,31760
0.905,0.563,0.102,0.0254,9.71e-06,0.324,920.4036858271171,65113
0.607,0.895,0.0863,0.0544,0.0,0.352,4171.829749890302,83570
0.762,0.766,0.0343,0.00776,6.98e-05,0.442,387.1698113207547,88656
0.611,0.688,0.341,0.0264,0.0,0.393,162.071083808688,33070
0.838,0.565,0.265,0.219,0.0,0.427,175.07678806494076,36622
0.643,0.927,0.269,0.0221,0.102,0.387,201.08819657744624,49958
0.774,0.766,0.313,0.0157,0.00746,0.384,50.02193944712593,32202
0.503,0.582,0.0253,0.472,0.0,0.326,1328.5827117156646,102128
0.782,0.697,0.0618,0.32,0.0,0.416,224.09828872312417,67503
0.541,0.815,0.0617,0.335,0.0,0.371,290.1272487933304,78951
0.891,0.777,0.0827,0.337,1.29e-06,0.487,70.0307152259763,69156
0.667,0.642,0.324,0.33,0.0,0.443,103.04519526107941,60594
0.828,0.707,0.362,0.303,0.0,0.441,63.02764370337867,81396
0.651,0.976,0.427,0.255,0.0397,0.311,77.03378674857393,58629
0.77,0.849,0.298,0.373,0.0,0.402,18.007898200965336,5726
0.571,0.504,0.041,0.228,0.371,0.468,108.047389205792,75452
0.773,0.53,0.0383,0.000634,0.402,0.432,54.023694602896,10583
0.72,0.888,0.0478,0.000769,0.39,0.429,226.0991663010092,10665
0.844,0.792,0.049,5.16e-06,0.362,0.46,31.013602457218077,13355
0.523,0.941,0.445,0.00719,0.457,0.382,18.007898200965336,28259
0.813,0.8,0.335,0.00654,0.424,0.366,4.001755155770074,29955
0.722,0.543,0.0692,0.355,0.411,0.315,24.010530934620448,31501
0.752,0.557,0.0356,0.333,0.343,0.467,3.001316366827556,43561
0.591,0.814,0.0391,0.286,0.404,0.438,3.001316366827556,61630
0.778,0.842,0.154,0.478,0.352,0.298,6.002632733655112,58756
0.189,0.674,0.0926,3.37e-05,0.0468,0.0598,110.04826678367705,6106
