x0,x1,x2,x3,x4,x5,weight,source_index
0.44,0.489,0.0392,0.254,0.0,0.239,1722.6319671267518,40204
0.741,0.383,0.108,0.311,0.0,0.475,2670.5299757665157,8480
0.231,0.865,0.0563,0.000971,4.99e-05,0.482,12018.3858392161,41418
0.591,0.294,0.593,0.278,0.0,0.254,25.023706669476347,36475
0.41,0.985,0.506,0.0161,0.000238,0.171,45.042672005057426,29054
0.574,0.94,0.569,0.00317,0.0431,0.362,56.05310293962702,29872
0.22,0.343,0.0357,0.925,0.0,0.156,6335.001580444632,98790
0.579,0.26,0.0312,0.912,0.000218,0.345,5172.90064271415,76655
0.3,0.546,0.0405,0.714,3.34e-06,0.274,1054.9994731851227,28803
0.802,0.566,0.145,0.539,4.09e-06,0.153,1649.5627436518807,94886
0.477,0.313,0.594,0.714,0.0,0.266,15.01422400168581,66142
0.608,0.148,0.918,0.879,4.17e-05,0.291,84.07965440944052,59245
0.365,0.965,0.904,0.714,0.0,0.0362,158.1498261510905,18802
0.646,0.979,0.91,0.852,0.0,0.0486,324.30723843641346,18581
0.0887,0.0135,0.311,1.21e-05,0.631,1e-05,577.5471499315141,101067
0.797,0.497,0.0658,0.0099,0.784,0.0625,779.738699820883,73515
0.363,0.67,0.0552,0.000582,0.548,0.198,2898.7461805921403,86008
0.844,0.682,0.0453,0.00207,0.797,0.352,4308.081340217048,32376
0.336,0.052,0.0283,0.952,0.955,0.0366,4256.032030344537,16654
0.7,0.205,0.043,0.805,0.877,0.134,1550.4688652407544,4973
0.408,0.589,0.0697,0.506,0.828,0.42,254.2408597618797,54074
0.578,0.547,0.032,0.564,0.853,0.0679,224.21241175850807,4712
0.234,0.396,0.0394,0.401,0.000303,0.636,264.25034242967024,84995
0.814,0.341,0.0467,0.0626,0.0,0.517,2255.1364450532083,94177
0.348,0.981,0.137,0.00479,0.0883,0.704,5051.785902433885,8335
0.736,0.37,0.502,0.293,0.0,0.619,36.03413760404594,98203
0.623,0.818,0.529,0.143,0.0,0.729,50.047413338952694,21480
0.5,0.365,0.0338,0.63,0.0,0.543,1025.9719734485302,70435
0.776,0.315,0.0513,0.89,4.94e-05,0.72,3983.7741017806347,92635
0.385,0.817,0.344,0.556,0.0,0.529,1038.984300916658,98448
0.733,0.612,0.0487,0.693,0.0,0.801,5235.960383521231,34981
0.636,0.477,0.92,0.735,0.0,0.682,94.08913707723107,18979
0.423,0.896,0.917,0.858,0.0,0.544,45.042672005057426,18171
0.64,0.542,0.508,0.603,0.0,0.578,213.20198082393847,21814
0.422,0.396,0.0374,0.435,0.586,0.653,13.012327468127701,7628
0.704,0.329,0.0636,0.4,0.828,0.597,291.2759456327047,105008
0.466,0.769,0.037,0.00108,0.818,0.605,432.4096512485513,27766
0.707,0.915,0.0542,0.0313,0.904,0.872,2144.0311874407334,27412
0.365,0.196,0.0349,0.904,0.968,0.588,300.2844800337162,16171
0.542,0.386,0.0572,0.748,0.765,0.964,498.47223685596884,52623
0.429,0.535,0.0379,0.815,0.93,0.926,83.07870614266147,76062
