x0,x1,x2,x3,x4,x5,weight,source_index
0.362,0.462,0.0376,0.297,0.00121,0.0895,1735.6003573924504,38772
0.854,0.377,0.0897,0.0661,0.36,0.275,2690.634371599685,28540
0.283,0.681,0.0483,0.0449,0.0177,0.428,12108.863155846107,48628
0.573,0.917,0.0527,0.007,0.00143,0.467,15964.29614033846,50412
0.412,0.474,0.0732,0.848,1.65e-05,0.471,6382.693005192806,108583
0.535,0.459,0.0286,0.763,0.0,0.176,5211.843490414982,70778
0.464,0.981,0.0838,0.65,1.73e-06,0.311,1062.941764492529,92632
0.574,0.598,0.0275,0.506,0.445,0.275,1661.9810511230437,45541
0.752,0.191,0.574,0.846,0.0,0.391,84.71262639219397,98940
0.448,0.747,0.821,0.924,0.0,0.0386,159.34041630912677,18219
0.514,0.841,0.903,0.823,0.0,0.162,326.7487017984625,18904
0.286,0.473,0.0871,0.341,0.828,0.0615,581.8950646225705,26590
0.7,0.462,0.0518,9.49e-05,0.886,0.231,785.6087614228466,73228
0.331,0.834,0.0752,3.56e-06,0.948,0.44,2920.5686432356397,6207
0.766,0.586,0.0452,9.98e-05,0.754,0.073,4340.513618952415,73659
0.473,0.361,0.0293,0.732,0.922,0.246,4288.072469281057,75300
0.554,0.0583,0.0458,0.988,0.933,0.154,1562.1411700179578,79635
0.486,0.532,0.11,0.665,0.663,0.336,256.1548464716342,54623
0.74,0.506,0.0463,0.91,0.635,0.0431,225.9003370458506,105422
0.401,0.213,0.0544,0.342,1.01e-05,0.678,266.23968294689536,103771
0.833,0.497,0.0739,0.291,0.000893,0.627,2272.1136578763453,23865
0.305,0.833,0.0398,0.000327,2.36e-05,0.586,5089.816969064322,71632
0.422,0.486,0.0311,0.736,0.0,0.623,1033.6957387142718,90380
0.509,0.287,0.0636,0.693,0.0,0.545,4013.7649171539524,103927
0.433,0.576,0.352,0.589,0.0,0.704,1046.8060261321114,96840
0.613,0.572,0.0288,0.761,0.344,0.703,5275.377960209127,57584
0.618,0.446,0.941,0.895,0.0,0.907,94.79746286745517,18961
0.537,0.548,0.963,0.736,0.0,0.73,214.8070169230633,18504
0.718,0.484,0.0493,0.0123,0.869,0.502,293.4687414301006,24083
0.0513,0.971,0.0683,6.3e-06,0.849,0.513,435.6649357312833,22667
0.802,0.603,0.0553,0.000431,0.906,0.636,2160.1719730009463,13960
0.455,0.493,0.0743,0.933,0.664,0.84,302.5450942578356,108554
0.685,0.377,0.348,0.542,0.788,0.597,502.22485646800715,105372
0.386,0.752,0.0311,0.664,0.947,0.988,83.70414274466786,7697
0.858,0.562,0.0457,0.964,0.876,0.894,238.00214081616403,54628
0.677,0.717,0.0633,0.188,0.000585,0.6,2858.0426570890204,63290
0.865,0.573,0.0678,0.0863,0.0,0.563,1665.006502065622,68016
0.66,0.942,0.185,0.00789,1.76e-05,0.543,6140.656929786537,53508
0.811,0.812,0.0635,0.151,0.000362,0.689,1209.1718933838163,68074
0.532,0.653,0.489,0.238,0.0,0.662,261.19726470926474,74876
0.882,0.668,0.306,0.00668,0.0,0.716,243.04455905379461,37408
0.61,0.966,0.305,0.000645,0.247,0.631,262.2057483567909,23489
0.772,0.978,0.273,0.00417,0.00473,0.707,85.72111003972009,10882
0.62,0.611,0.0477,0.49,0.0,0.626,1410.8686228890401,96421
0.801,0.641,0.173,0.34,4.5e-05,0.741,445.7497722065445,28637
0.735,0.935,0.04,0.315,0.00555,0.662,788.6342123654249,61635
0.843,0.768,0.117,0.256,0.0,0.662,196.65431126759316,81359
0.718,0.673,0.37,0.294,0.0,0.625,188.5864420873842,5182
0.921,0.552,0.348,0.283,0.0,0.546,94.79746286745517,57779
0.705,0.93,0.386,0.389,0.0,0.568,86.72959368724621,69739
0.531,0.892,0.0485,0.00177,0.43,0.719,180.51857290717527,27236
0.602,0.553,0.0328,0.108,0.0,0.971,1791.0669580063868,84046
0.752,0.538,0.0315,0.0629,8.8e-05,0.752,1128.493201581727,107183
0.585,0.781,0.0738,0.154,0.0277,0.834,4353.623906370254,100786
0.776,0.793,0.16,0.0702,7.82e-06,0.771,1407.8431719464618,1232
0.622,0.676,0.329,0.0406,0.0,0.771,94.79746286745517,21997
0.756,0.501,0.492,0.00277,0.0,0.925,142.19619430118274,60230
0.692,0.831,0.374,0.239,0.0,0.798,141.18771065365664,66913
0.753,0.763,0.275,0.0345,8.1e-06,0.777,94.79746286745517,33667
0.747,0.74,0.0587,0.463,0.0,0.887,960.0764324448651,96737
0.799,0.736,0.0582,0.283,0.000347,0.975,502.22485646800715,87197
0.537,0.854,0.15,0.295,0.0,0.786,1082.1029537955253,1655
0.852,0.967,0.0722,0.395,0.000324,0.891,384.2322697074512,65408
0.666,0.887,0.0326,0.154,0.385,0.971,126.06045594076484,61613
